City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
454,Tarakan,ID,76.5,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
457,Sao Joao Da Barra,BR,76.3,-21.6403,-41.0511,Pousada Porto De Canoas
459,Sao Filipe,CV,75.29,14.8961,-24.4956,Hotel Xaguate
468,Bull Savanna,JM,78.03,17.8868,-77.5902,Big Red's
469,Dingle,PH,75.34,10.9995,122.6711,SEGAYA PROPERTY
470,Roxas,PH,77.97,11.5853,122.7511,Urban Manor
472,Cap Malheureux,MU,75.69,-19.9842,57.6142,Pereybere Hotel & Spa
473,Hambantota,LK,78.26,6.1241,81.1185,Bungalow 63
474,Bouna,CI,80.96,9.2667,-3.0,Hôtel lababa
476,Bubaque,GW,81.39,11.2833,-15.8333,"Casa Dora, Bubaque"
484,Ambon,ID,77.14,-3.6954,128.1814,Swiss-Belhotel Ambon
485,Mahibadhoo,MV,80.29,3.7833,72.9667,Omadhoo Inn
488,Port Blair,IN,79.11,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
495,Sibu,MY,75.51,2.3,111.8167,RH HOTEL (4 Star)
501,Male,MV,80.55,4.1748,73.5089,Hotel Octave Maldives
503,Waw,SS,78.96,7.7029,27.9953,Universal Gab Hotel
504,Santa Rosa,PH,78.12,14.3122,121.1114,Erlyn’s Sta Rosa City Home
516,Koumac,NC,76.1,-20.5667,164.2833,Le Monitel
518,Cockburn Town,TC,79.86,21.4612,-71.1419,Osprey Beach Hotel
524,Isangel,VU,83.77,-19.55,169.2667,Tanna Lodge
526,Breves,BR,82.26,-1.6822,-50.4803,Hotel e Restaurante Grill
532,La Primavera,CO,88.2,5.4906,-70.4092,La Riviera Hotel Colonial
547,Maumere,ID,80.73,-8.6199,122.2111,Sylvia Hotel
552,Mocuba,MZ,81.36,-16.8392,36.9856,Phama Lodge
556,Tonantins,BR,78.6,-2.8731,-67.8022,Hotel Rei Davi
562,Bonthe,SL,80.02,7.5264,-12.505,Bonthe Holiday Village
571,Come,BJ,83.91,6.4076,1.882,Hôtel la concorde chez Mehinnou
574,Sao Gabriel Da Cachoeira,BR,78.26,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
584,Kalabo,ZM,77.49,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
590,Santa Isabel Do Rio Negro,BR,77.94,-0.4139,-65.0192,Hotel GSA
593,Iralaya,HN,80.69,15.0,-83.2333,Iglesia morava renovada
595,Poum,NC,77.67,-20.2333,164.0167,Gîte kajeon
602,Denpasar,ID,78.46,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
606,Aloleng,PH,77.95,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
610,Moron,AR,79.0,-34.6534,-58.6198,Hotel Morón
611,Salto,UY,84.87,-31.3833,-57.9667,Gran Hotel Uruguay
613,El Retorno,CO,79.3,2.3302,-72.6276,Hostal la posada de Rita
620,Tepalcingo,MX,86.65,18.6,-98.85,Hotel Girasoles
621,Alice Town,BS,77.68,25.7167,-79.3,Bimini Big Game Club Resort & Marina
629,Kismayo,SO,79.86,-0.3582,42.5454,Agan-Hotel
630,Nisia Floresta,BR,83.21,-6.0911,-35.2086,Rancho Crepusculo
633,Kloulklubed,PW,79.3,7.0419,134.2556,Storyboard Beach Resort
634,Teahupoo,PF,78.76,-17.8333,-149.2667,Vanira Lodge
635,Omboue,GA,75.83,-1.5746,9.2618,Hotel Olako
637,Gunjur,GM,77.07,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
642,Champerico,GT,88.34,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
643,Prainha,BR,79.0,-1.8,-53.48,Casa Rocha
648,Santa Cruz,BO,78.85,-17.8,-63.1667,Aviador Hotel Boutique
651,Banda Aceh,ID,77.07,5.5577,95.3222,Sulthan Hotel International
652,Bodden Town,KY,84.2,19.2833,-81.25,Will T Place
656,Itaituba,BR,75.52,-4.2761,-55.9836,Hotel Campos
657,Douentza,ML,76.66,14.9951,-2.9517,Ogomono Doumbo
659,Ocos,GT,88.3,14.5094,-92.1933,Auto Hotel El Soñador
662,Axim,GH,79.77,4.8699,-2.2405,Axim Beach Resort And Spa
666,Minjur,IN,80.01,13.2667,80.2667,Whitefield Integrated Residential Township
668,Makakilo City,US,80.92,21.3469,-158.0858,Marriott's Ko Olina Beach Club
673,Cabedelo,BR,81.27,-6.9811,-34.8339,Hotel Pigalle
674,Vao,NC,75.67,-22.6667,167.4833,Hotel Kou-Bugny
675,Ambulu,ID,78.82,-8.345,113.6058,Hotel Ambulu Jember
680,Coracao De Jesus,BR,75.92,-16.6853,-44.365,Hotel Neves
681,Sinnamary,GF,77.09,5.3833,-52.95,ALETHEIA Appartement Sinnamary
682,Pundaguitan,PH,81.95,6.3711,126.1689,Leonardo Family Beach House 1
685,Maracaibo,VE,78.8,10.6317,-71.6406,Motel Aladdin
689,Ho Chi Minh City,VN,77.02,10.75,106.6667,Windsor Plaza Hotel
692,Harper,LR,79.9,4.375,-7.7169,Screensaver
694,Luis Correia,BR,86.0,-2.8792,-41.6669,Hotel Amarração
696,Chaiyaphum,TH,75.92,15.75,102.0,BBM Hotel
